ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_长度,FID,field_1,field_6
760,图形选择 3 - 位置 70,3,70,12,7913.255196496277700,70,肯德基(狮城店),九珍果汁饮料，冰拿铁，冰美式，劲爆鸡米花，吮指原味鸡，吮指原味鸡套餐，拿铁，新奥尔良烤翅，根骨肉相连加，榛果风味冰拿铁，榛果风味热拿铁，红豆派，美式，老北京鸡肉卷，芙蓉荟蔬汤，醇香土豆泥，香甜粟米棒，香辣鸡翅，香辣鸡腿堡，香辣鸡腿堡土豆泥餐，鲜蔬沙拉，黄
761,图形选择 3 - 位置 5,3,5,13,8581.168535377308200,5,肯德基(武汉国际广场),小食拼盘，可乐，KFC香辣（劲脆）鸡腿堡，芋缘花淇淋，黄金鸡块，KFC芋缘花淇淋，肯大大鸡排，KFC老北京鸡肉卷，吮指原味鸡，薯条，玉米沙拉，香辣鸡翅，葡式蛋挞，现磨咖啡，蔬菜沙拉，鸡米花，醇香土豆泥，海苔岩烧大鸡腿饭，伴柠伴桔鲜果茶，红豆派，全家桶，新奥尔良烤?
762,图形选择 3 - 位置 47,3,47,14,8629.153353164598200,47,肯德基(融侨店),bbq手撕猪肉卷，九珍果汁饮料，五味小吃桶，伴鸡伴虾堡，伴鸡伴虾堡土豆泥餐，冰拿铁，冰美式，劲爆鸡米花，吮指原味鸡，吮指原味鸡套餐，圣代，新奥尔良烤翅，新奥尔良烤鸡腿堡，新奥良腿堡土豆泥餐，根骨肉相连加，玉米沙拉，红豆圆奶茶，红豆派，美式，老北京卷土豆泥餐?
763,图形选择 3 - 位置 16,3,16,15,9723.725163815173800,16,肯德基(汉阳商场店),蛋挞，吮指原味鸡，雪顶咖啡，伴鸡伴虾堡土豆泥餐，伴鸡伴虾堡，九珍果汁饮料，五味小吃桶，冰拿铁，冰美式，劲爆鸡米花，吮指原味鸡套餐，圣代，拿铁，新奥尔良烤翅，新奥尔良烤鸡腿堡，新奥良腿堡土豆泥餐，根骨肉相连加，榛果风味冰拿铁，红豆派，美式，老北京卷土豆泥餐
764,图形选择 3 - 位置 22,3,22,16,9971.805484440186800,22,肯德基(和平大道店),抹茶冰激凌，冰激凌，香辣鸡腿堡，鸡肉卷
765,图形选择 3 - 位置 39,3,39,17,9984.208876378925200,39,肯德基(上东汇店),伴鸡伴虾堡，香辣鸡腿堡土豆泥餐，老北京卷土豆泥餐，冰拿铁，老北京鸡肉卷，榛果风味冰拿铁，香甜粟米棒，芙蓉荟蔬汤，劲爆鸡米花，新奥尔良烤鸡腿堡，香辣鸡翅，醇香土豆泥，九珍果汁饮料，黄金鸡块，香辣鸡腿堡，美式，伴鸡伴虾堡土豆泥餐，吮指原味鸡套餐，新奥良腿堡土
766,图形选择 3 - 位置 64,3,64,18,10185.379869344904000,64,肯德基(新中南店),爱尔兰雪顶咖啡，泰式鸡肉卷，吮指原味鸡套餐，九珍果汁饮料，九珍果汁，五味小吃桶，什菌烤鸡腿堡，伴鸡伴虾堡，伴鸡伴虾堡土豆泥餐，冰拿铁，冰淇淋之神，冰美式，劲爆鸡米花，香甜栗米棒，bbq手撕猪肉卷，bbq手撕猪肉堡，草莓味冰淇淋花筒，巧克力味冰淇淋花筒，劲脆鸡腿
767,图形选择 3 - 位置 92,3,92,19,10436.431436081673000,92,台湾黄金鸡脆骨,{}
768,图形选择 3 - 位置 37,3,37,20,10970.403838976259000,37,肯德基(儿童医院餐厅),肯大大鸡排，KFC老北京鸡肉卷，吮指原味鸡，薯条，玉米沙拉，香辣鸡翅，芋缘花淇淋，黄金鸡块，KFC芋缘花淇淋，小食拼盘，可乐，KFC香辣（劲脆）鸡腿堡，葡式蛋挞，现磨咖啡，伴柠伴桔鲜果茶，蔬菜沙拉，鸡米花，醇香土豆泥，海苔岩烧大鸡腿饭，红豆派，全家桶，新奥尔良烤?
769,图形选择 4 - 位置 22,4,22,1,1328.627021847403700,22,肯德基(和平大道店),抹茶冰激凌，冰激凌，香辣鸡腿堡，鸡肉卷
770,图形选择 4 - 位置 92,4,92,2,1725.422922748988600,92,台湾黄金鸡脆骨,{}
771,图形选择 4 - 位置 24,4,24,3,2218.059318758590100,24,肯德基(吉庆街店),香辣鸡腿堡，超级外送全家桶，红豆圆奶茶，新奥良腿堡土豆泥餐，拿铁，上校鸡块，香辣鸡腿堡土豆泥餐，辣翅，黄桃蛋挞，香栗双层鸡腿堡，美味鸡柳，深海鳕鱼堡，小食拼盘，墨西哥鸡肉卷，原味鸡腿堡，香菇滑鸡粥，香甜栗米棒，雪顶，超值午餐，田园脆鸡堡，玉米杯，泰式鸡肉
772,图形选择 4 - 位置 37,4,37,4,2269.209452710658300,37,肯德基(儿童医院餐厅),肯大大鸡排，KFC老北京鸡肉卷，吮指原味鸡，薯条，玉米沙拉，香辣鸡翅，芋缘花淇淋，黄金鸡块，KFC芋缘花淇淋，小食拼盘，可乐，KFC香辣（劲脆）鸡腿堡，葡式蛋挞，现磨咖啡，伴柠伴桔鲜果茶，蔬菜沙拉，鸡米花，醇香土豆泥，海苔岩烧大鸡腿饭，红豆派，全家桶，新奥尔良烤?
773,图形选择 4 - 位置 21,4,21,5,2441.376058499877700,21,肯德基(汉街店),爱尔兰雪顶咖啡，吮指原味鸡块，葡式蛋挞，香辣鸡腿堡，薯条，老北京鸡肉卷，霸王翅，草莓圣代，美式，川椒麻香翅，伴鸡伴虾堡土豆泥餐，什菌烤鸡腿堡，鸡米花，香菇鸡排饭，鸡肉汉堡，辣腿堡，草莓旋风，经典咖啡，新奥尔良系列，培根蘑菇鸡肉饭，冰碳烤珍珠奶茶，冰奶茶，
774,图形选择 4 - 位置 64,4,64,6,2475.624108162743600,64,肯德基(新中南店),爱尔兰雪顶咖啡，泰式鸡肉卷，吮指原味鸡套餐，九珍果汁饮料，九珍果汁，五味小吃桶，什菌烤鸡腿堡，伴鸡伴虾堡，伴鸡伴虾堡土豆泥餐，冰拿铁，冰淇淋之神，冰美式，劲爆鸡米花，香甜栗米棒，bbq手撕猪肉卷，bbq手撕猪肉堡，草莓味冰淇淋花筒，巧克力味冰淇淋花筒，劲脆鸡腿
775,图形选择 4 - 位置 23,4,23,7,3191.680455827004600,23,肯德基(沙湖店),吮指原味鸡块，老北京卷土豆泥餐，冰拿铁，热牛奶，楚味烤翅，麦辣鸡腿汉堡，香辣鸡腿汉堡，榛果风味冰拿铁，嫩牛五方，咖喱鸡饭，香甜粟米棒，芙蓉荟蔬汤，卤水鸡腿饭，玉米沙拉，牛肉堡，原味蛋挞，鳕鱼汉堡，石榴派，皮蛋瘦肉粥，草莓沙冰，柚子茶，仙草奶茶，香菇鸡肉饭
776,图形选择 4 - 位置 28,4,28,8,4588.157856489526200,28,肯德基(万松园店),香辣腿堡，新奥尔良烤翅，雪顶，葡式蛋挞，十翅一筒，爱尔兰雪顶咖啡，吮指原味鸡块，超级外送全家桶，红豆圆奶茶，新奥良腿堡土豆泥餐，拿铁，黄桃蛋挞，香栗双层鸡腿堡，美味鸡柳，深海鳕鱼堡，小食拼盘，墨西哥鸡肉卷，原味鸡腿堡，香菇滑鸡粥，香甜栗米棒，超值午餐，田
777,图形选择 4 - 位置 32,4,32,9,4691.780597034877200,32,肯德基(欧亚达汉口国际广场店),吮指原味鸡，新奥尔良烤翅，香辣鸡翅，香辣鸡腿堡，新奥尔良烤鸡腿堡，醇香土豆泥，红豆派，黄金鸡块
778,图形选择 4 - 位置 72,4,72,10,4695.428911252075500,72,肯德基(荟聚购物中心),新奥尔良烤鸡腿堡，粉色可乐，新奥尔良烤翅，海苔虾，小食盘，雪顶咖啡
779,图形选择 4 - 位置 25,4,25,11,4761.568243936219900,25,肯德基(光谷天地),香辣鸡翅，香辣鸡腿堡，巧克力圣代，葡式蛋挞，爱尔兰雪顶咖啡，黄金鸡块，霸王翅，美式，川椒麻香翅，伴鸡伴虾堡土豆泥餐，什菌烤鸡腿堡，香菇鸡排饭，吮指原味鸡套餐，鸡肉汉堡，辣腿堡，经典咖啡，榴莲披萨，新奥尔良系列，培根蘑菇鸡肉饭，冰碳烤珍珠奶茶，冰奶茶，麻辣
