ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_长度,FID,field_1,field_6
502,图形选择 2 - 位置 63,2,63,5,2976.540702651732300,63,肯德基(水果湖店),麦辣鸡腿汉堡，香辣鸡腿汉堡，老北京鸡肉卷，榛果风味冰拿铁，嫩牛五方，咖喱鸡饭，香甜粟米棒，芙蓉荟蔬汤，卤水鸡腿饭，芙蓉鲜蔬汤，明星香辣鸡腿堡套餐，小吃拼盘，草莓沙冰，柚子茶，新奥尔良腿堡，仙草奶茶，香菇鸡肉饭，蔬菜萨拉，油条被蛋卷，bbq手撕猪肉堡，香辣鸡?
503,图形选择 2 - 位置 7,2,7,6,3333.678994143167100,7,肯德基(汉口火车站餐厅),全家桶，新奥尔良烤鸡腿堡，红豆派，伴柠伴桔鲜果茶，蔬菜沙拉，鸡米花，醇香土豆泥，海苔岩烧大鸡腿饭，小食拼盘，可乐，KFC香辣（劲脆）鸡腿堡，肯大大鸡排，KFC老北京鸡肉卷，吮指原味鸡，薯条，玉米沙拉，香辣鸡翅，芋缘花淇淋，黄金鸡块，KFC芋缘花淇淋，现磨咖啡，葡?
504,图形选择 2 - 位置 91,2,91,7,4610.358033968147500,91,座椅,{}
505,图形选择 2 - 位置 56,2,56,8,4611.585111089541900,56,肯德基(奥山世纪广场店),香醇土豆泥，至珍七虾堡，铁板烤鸡腿堡，新奥尔良腿宝，辣汉堡，脆皮炸鸡，海盐焦糖圣代，新奥尔良烤鸡腿堡，香辣鸡腿堡，雪顶咖啡，鸡米花，燕麦堡，劲脆鸡腿堡，深海鳕鱼堡，新奥尔良烤翅，火腿蛋堡
506,图形选择 2 - 位置 89,2,89,9,4651.149080815626800,89,肯德基(五环天地),[]
507,图形选择 3 - 位置 22,3,22,1,258.278871571278330,22,肯德基(和平大道店),抹茶冰激凌，冰激凌，香辣鸡腿堡，鸡肉卷
508,图形选择 3 - 位置 92,3,92,2,655.074772472862950,92,台湾黄金鸡脆骨,{}
509,图形选择 3 - 位置 37,3,37,3,1198.861302434532500,37,肯德基(儿童医院餐厅),肯大大鸡排，KFC老北京鸡肉卷，吮指原味鸡，薯条，玉米沙拉，香辣鸡翅，芋缘花淇淋，黄金鸡块，KFC芋缘花淇淋，小食拼盘，可乐，KFC香辣（劲脆）鸡腿堡，葡式蛋挞，现磨咖啡，伴柠伴桔鲜果茶，蔬菜沙拉，鸡米花，醇香土豆泥，海苔岩烧大鸡腿饭，红豆派，全家桶，新奥尔良烤?
510,图形选择 3 - 位置 21,3,21,4,1371.027908223751900,21,肯德基(汉街店),爱尔兰雪顶咖啡，吮指原味鸡块，葡式蛋挞，香辣鸡腿堡，薯条，老北京鸡肉卷，霸王翅，草莓圣代，美式，川椒麻香翅，伴鸡伴虾堡土豆泥餐，什菌烤鸡腿堡，鸡米花，香菇鸡排饭，鸡肉汉堡，辣腿堡，草莓旋风，经典咖啡，新奥尔良系列，培根蘑菇鸡肉饭，冰碳烤珍珠奶茶，冰奶茶，
511,图形选择 3 - 位置 64,3,64,5,1405.275957886616900,64,肯德基(新中南店),爱尔兰雪顶咖啡，泰式鸡肉卷，吮指原味鸡套餐，九珍果汁饮料，九珍果汁，五味小吃桶，什菌烤鸡腿堡，伴鸡伴虾堡，伴鸡伴虾堡土豆泥餐，冰拿铁，冰淇淋之神，冰美式，劲爆鸡米花，香甜栗米棒，bbq手撕猪肉卷，bbq手撕猪肉堡，草莓味冰淇淋花筒，巧克力味冰淇淋花筒，劲脆鸡腿
512,图形选择 3 - 位置 24,3,24,6,2964.580261339747700,24,肯德基(吉庆街店),香辣鸡腿堡，超级外送全家桶，红豆圆奶茶，新奥良腿堡土豆泥餐，拿铁，上校鸡块，香辣鸡腿堡土豆泥餐，辣翅，黄桃蛋挞，香栗双层鸡腿堡，美味鸡柳，深海鳕鱼堡，小食拼盘，墨西哥鸡肉卷，原味鸡腿堡，香菇滑鸡粥，香甜栗米棒，雪顶，超值午餐，田园脆鸡堡，玉米杯，泰式鸡肉
513,图形选择 3 - 位置 28,3,28,7,3521.955894753971300,28,肯德基(万松园店),香辣腿堡，新奥尔良烤翅，雪顶，葡式蛋挞，十翅一筒，爱尔兰雪顶咖啡，吮指原味鸡块，超级外送全家桶，红豆圆奶茶，新奥良腿堡土豆泥餐，拿铁，黄桃蛋挞，香栗双层鸡腿堡，美味鸡柳，深海鳕鱼堡，小食拼盘，墨西哥鸡肉卷，原味鸡腿堡，香菇滑鸡粥，香甜栗米棒，超值午餐，田
