start_id,end_id,dist
103,1,1439321
103,2,1305351
103,3,1337667
103,4,1337804
103,5,1295991
103,6,1295771
103,7,1319775
103,8,1215676
103,9,1160496
103,10,1162761
103,11,1162311
103,12,1466444
103,13,1448245
103,14,1421743
103,15,1421339
103,16,1190866
103,17,1190902
103,18,1168007
103,19,1167893
103,20,1128330
103,21,1128288
103,22,1039746
103,23,1039309
103,24,954362
103,25,941565
103,26,940779
103,27,940079
103,28,1140194
103,29,1138789
103,30,1138126
103,31,1153672
103,32,334167
103,33,2147483647
103,34,2147483647
103,35,1152108
103,36,1151840
103,37,1125819
103,38,2147483647
103,39,2147483647
103,40,987497
103,41,2147483647
103,42,2147483647
103,43,323134
103,44,893522
103,45,901400
103,46,330065
103,47,329729
103,48,334407
103,49,334501
103,50,318488
103,51,317640
103,52,314202
103,53,323192
103,54,325436
103,55,320433
103,56,321063
103,57,323493
103,58,2147483647
103,59,2147483647
103,60,290131
103,61,348106
103,62,348332
103,63,279761
103,64,264074
103,65,244213
103,66,252787
103,67,250404
103,68,250441
103,69,240437
103,70,244686
103,71,237423
103,72,247107
103,73,246553
103,74,235376
103,75,326082
103,76,236932
103,77,1175907
103,78,899555
103,79,315659
103,80,355997
103,81,308114
103,82,311324
103,83,801480
103,84,812598
103,85,812947
103,86,223363
103,87,223208
103,88,2147483647
103,89,2147483647
103,90,799696
103,91,797214
103,92,2147483647
103,93,2147483647
103,94,796946
103,95,768882
103,96,2147483647
103,97,2147483647
103,98,2147483647
103,99,35536
103,100,35832
103,101,35553
103,102,24769
103,103,0
103,104,2147483647
103,105,2147483647
103,106,70572
103,107,71116
103,108,77650
103,109,112428
103,110,175359
103,111,172335
103,112,167119
103,113,164156
103,114,165757
103,115,176352
103,116,181040
103,117,183887
103,118,189375
103,119,192616
103,120,262378
103,121,205874
103,122,225559
103,123,238220
103,124,243356
103,125,252648
103,126,208359
103,127,204209
103,128,195336
103,129,203277
103,130,2147483647
103,131,2147483647
103,132,323053
103,133,323445
103,134,179915
103,135,241613
103,136,250818
103,137,246210
103,138,248599
103,139,249868
103,140,282154
103,141,260387
103,142,197855
103,143,196567
103,144,197287
103,145,208785
103,146,210069
103,147,221549
103,148,286616
103,149,288631
103,150,155472
103,151,222976
103,152,221957
103,153,251875
103,154,245860
103,155,207269
103,156,195009
103,157,279709
103,158,293984
103,159,601204
103,160,361801
103,161,361326
103,162,349991
103,163,364190
